商户编号K3,商户编号,商户名称,,店铺编号K3,店铺编号,店铺名称,,店铺类型,联系人,城市,原商户编号K3,原商户名称K3,原店铺编号CRM,备注
1.SZ0039,SZ0039,深圳市宝安区龙华险峰理发店,客户---1.SZ0039---深圳市宝安区龙华险峰理发店,1.SZ0039001,SZ0039001,尚艺险峰,客户---1.SZ0039001---尚艺险峰,,何岩,深圳,440306201412004401,深圳市宝安区龙华险峰理发店(何岩),304,
1.SZ0040,SZ0040,深圳市宝安区民治时尚发艺美发店,客户---1.SZ0040---深圳市宝安区民治时尚发艺美发店,1.SZ0040001,SZ0040001,领秀美发店,客户---1.SZ0040001---领秀美发店,,陈云明,深圳,440306201501001701,深圳市宝安区民治时尚发艺美发店(陈云明),525,
1.SZ0041,SZ0041,深圳市宝安区沙井发如雪理发美容店,客户---1.SZ0041---深圳市宝安区沙井发如雪理发美容店,1.SZ0041001,SZ0041001,发如雪,客户---1.SZ0041001---发如雪,,张琪,深圳,440306201502000201,深圳市宝安区沙井发如雪理发美容店（张琪）,777,
1.SZ0042,SZ0042,深圳市宝安区沙井聚星米兰烫染店,客户---1.SZ0042---深圳市宝安区沙井聚星米兰烫染店,1.SZ0042001,SZ0042001,米兰美容造型,客户---1.SZ0042001---米兰美容造型,,陈梅,深圳,440306201412002501,深圳市宝安区沙井聚星米兰烫染店(陈梅),240,
1.SZ0043,SZ0043,深圳市宝安区沙井卡卡理发店,客户---1.SZ0043---深圳市宝安区沙井卡卡理发店,1.SZ0043001,SZ0043001,韩国连锁,客户---1.SZ0043001---韩国连锁,,秦明,深圳,440306201502000101,深圳市宝安区沙井卡卡理发店（秦明）,775,
1.SZ0043,SZ0043,深圳市宝安区沙井卡卡理发店,客户---1.SZ0043---深圳市宝安区沙井卡卡理发店,1.SZ0043002,SZ0043002,纤手· 韩国连锁,客户---1.SZ0043002---纤手· 韩国连锁,,秦明,深圳,440306201502000101,深圳市宝安区沙井卡卡理发店（秦明）,776,
1.SZ0043,SZ0043,深圳市宝安区沙井卡卡理发店,客户---1.SZ0043---深圳市宝安区沙井卡卡理发店,1.SZ0043003,SZ0043003,卡卡美容美发店,客户---1.SZ0043003---卡卡美容美发店,,秦明,深圳,440306201502000101,深圳市宝安区沙井卡卡理发店（秦明）,787,
1.SZ0043,SZ0043,深圳市宝安区沙井卡卡理发店,客户---1.SZ0043---深圳市宝安区沙井卡卡理发店,1.SZ0043004,SZ0043004,纤手专业烫染连锁（万丰店）,客户---1.SZ0043004---纤手专业烫染连锁（万丰店）,,秦明,深圳,440306201502000101,深圳市宝安区沙井卡卡理发店（秦明）,788,
1.SZ0044,SZ0044,深圳市宝安区沙井卡伦精剪理发店,客户---1.SZ0044---深圳市宝安区沙井卡伦精剪理发店,1.SZ0044001,SZ0044001,卡伦精剪,客户---1.SZ0044001---卡伦精剪,,彭四华,深圳,440306201412001001,深圳市宝安区沙井卡伦精剪理发店(彭四华),210,
1.SZ0044,SZ0044,深圳市宝安区沙井卡伦精剪理发店,客户---1.SZ0044---深圳市宝安区沙井卡伦精剪理发店,1.SZ0044002,SZ0044002,100丽造型,客户---1.SZ0044002---100丽造型,,彭四华,深圳,440306201412001001,深圳市宝安区沙井卡伦精剪理发店(彭四华),212,
1.SZ0045,SZ0045,深圳市宝安区沙井天资美发店,客户---1.SZ0045---深圳市宝安区沙井天资美发店,1.SZ0045001,SZ0045001,天资美容美发,客户---1.SZ0045001---天资美容美发,,周志飞,深圳,440306201501004701,深圳市宝安区沙井天资美发店(周志飞),642,
1.SZ0046,SZ0046,深圳市宝安区沙井新巨兰米理发店,客户---1.SZ0046---深圳市宝安区沙井新巨兰米理发店,1.SZ0046001,SZ0046001,大王山米兰,客户---1.SZ0046001---大王山米兰,,柳小元,深圳,440306201412000901,深圳市宝安区沙井新巨兰米理发店(柳小元),207,
1.SZ0046,SZ0046,深圳市宝安区沙井新巨兰米理发店,客户---1.SZ0046---深圳市宝安区沙井新巨兰米理发店,1.SZ0046002,SZ0046002,濠景城米兰,客户---1.SZ0046002---濠景城米兰,,柳小元,深圳,440306201412000901,深圳市宝安区沙井新巨兰米理发店(柳小元),208,
1.SZ0047,SZ0047,深圳市宝安区沙井艺人造型理发店,客户---1.SZ0047---深圳市宝安区沙井艺人造型理发店,1.SZ0047001,SZ0047001,漂亮宝贝护肤造型,客户---1.SZ0047001---漂亮宝贝护肤造型,,黎亮,深圳,440306201501005801,深圳市宝安区沙井艺人造型理发店(黎亮),738,
